,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
53,53,Boddam - Boulder - Argyll,,porphyry,,,height above sea level : 1000 feet,,,1,,,9,776
54,54,Boddam - Boulder,,Conglomerate,,,height above sea level : 800 feet,,,1,,,10,776
55,55,Boddam - Loch Fyne - Loch Awe,,,,,height above sea level : 1800 feet,W.,,1,,Anderson Smith,11,776
56,56,Boddam - Loch F,,granite,,,,,,1,,"Anderson Smith, Anderson Smith",2,777
57,57,Boddam - Loch Awe. - Port Sonnachan,13 x 12 x 6 - diameter : 10 feet,gneiss - mica - schist - Granite,,weight : 15 tons,height above sea level : 1026 feet,N. - S. - N.W. - W.,,1,,,3,777
58,58,Boddam - S.E,18 x 10 x 10,,,weight : 130 tons - weight : 10 tons,height above sea level : 900 feet,"N. - N.W. - S.E. - W,",,1,,,4,777
59,59,Boddam - S.E,,,,,,,,1,,,8,777
60,60,Boddam - Loch Awe. - Port Sonnachan,13 x 12 x 6 - diameter : 10 feet,gneiss - mica - schist - Granite,,weight : 15 tons,height above sea level : 1026 feet,N. - S. - N.W. - W.,,1,,,3,777
61,61,Boddam - S.E,18 x 10 x 10,,,weight : 130 tons - weight : 10 tons,height above sea level : 900 feet,"N. - N.W. - S.E. - W,",,1,,,4,777
62,62,Boddam - Brander - Pass - Black Granite Boulder - S.E,diameter : 8 feet,Granite,,weight : 10 tons,,N.W. - S.E.,,1,,,5,777
63,63,Boddam - Grey Granite Boulder - Barcaldine Gardens - S.E,19 x 12 x 7,Granite,,,height above sea level : 400 feet,N.W. - S.E.,,1,,,6,777
64,64,Boddam - Grey Granite Boulder - Barcaldine Gardens - S.E,diameter : 13x7 feet,,,,height above sea level : 300 feet,N. - S.,,1,,,7,777
65,65,Boddam - Grey Granite Boulder - Barcaldine Gardens - S.E,,,,,,,,1,,,8,777
66,66,Boddam - Loch Awe,,,,,height above sea level : 120 feet,,,1,,,1,778
67,67,Boddam - Dalmally - Tyndrum,,,,,,,,1,,,2,778
68,68,Boddam - Loch Awe - Kaim - Port Sonnachan,24 x 11 x 7,,,,,,,1,gravel - bank,,3,778
69,69,Boddam - Inndsdrarodinick - Druid’s Isle - Loch Awe,,,,,,,,1,,"Muir, Convener",5,778
70,70,Boddam - Ardrishaig - Loch Gilp - Loch Fyne,,,,,,N.W.,,1,,,6,778
71,71,Boddam - Auchendarroch - S.E.,,,,,height above sea level : 300 feet,"N. - S. - S.E.,",,2,,,7,778
72,72,Boddam - N.E,,,,,,N.E.,,1,,,13,778
73,73,Boddam - Ormsary House,2 x 36 x 20,,,weight : 2770 tons,height above sea level : 40 feet,,,1,,,2,779
74,74,Boddam - Ormsary House,,,,,,,,1,,,3,779
75,75,Boddam - Baronlongart Valley - Ormsary - Achloss,,,,,,W.,,1,,,5,779
76,76,Boddam - Clack Briach Hill - Stone Spotted Hill - N.W - ““Big Boulder”,,gneiss - schist,,,height above sea level : 400 feet,"N.W. - N. - W, - S.E.",,1,,,6,779
77,77,Boddam - Clack Briach Hill - Stone Spotted Hill - N.W - ““Big Boulder”,,,,,,,,1,,,7,779
78,78,Boddam - N.W,"17 x 8 x 8, 18 x 10 x 10",,,,,"N.W.,",,2,,,8,779
79,79,Boddam - Keill - Loch - Jura Island,,granite - gneiss - Silurian,,,,,,1,,,10,779
80,80,Boddam - Carig Bay - Lochgilphead - Knapdale - N.W - Jura Island,,,,,,"N.W,",,1,,,11,779
81,81,Boddam - Loch Mhurrich - Islay - Scotland,36 x 15 x 13,,,,,,,1,knoll,Campbell,12,779
82,82,Boddam,,,,,,"W.S. - W,",,1,,,1,780
83,83,Boddam - Loch Sweyn,,,,,,W.N. - W.,,1,,,2,780
84,84,Boddam - Kilmory Bay.,,,,,,"W.S. - W,",,1,,,3,780
85,85,Boddam - Lioch Sweyn - N.N.W.,,,,,height above sea level : 600 feet,"E. - W, - W.N. - W.",,1,,,6,780
86,86,Boddam - Taynish House - Inver - S. - S.W,"18 x 11 x 8, 19 x 15 x 5",,,,,N.E. - S.W.,,1,,,8,780
87,87,Boddam - Edinburgh,,,,,,,,1,,,1,781
88,88,Boddam - Ardrishaig - Castle Sweyn - Loch,,,,,,,,1,bank,,2,781
89,89,Boddam - Crinan Canal - Ballanach,16 x 9 x 9 - 12 x 8 x 6,granite - Conglomerate,,,height above sea level : 300 feet,S.W. - S.,,1,,S.,3,781
90,90,Boddam - N.W.,,Conglomerate,,,,N.W.,,1,pebbles,,4,781
91,91,Boddam - Loch Sweyn - Castle Sweyn,,,,weight : 80 tons,,,,1,bank,,5,781
92,92,Boddam - Ardrishaig - Castle Sweyn - Loch,,,,,,,,1,bank,,2,781
93,93,Boddam - Crinan Canal - Ballanach,16 x 9 x 9 - 12 x 8 x 6,granite - Conglomerate,,,height above sea level : 300 feet,S.W. - S.,,1,,S.,3,781
94,94,Boddam,,,,,,,,1,,,1,782
95,95,Boddam - N.W,,granite,,,,"N, - N.W.",,1,,,2,782
96,96,Boddam - Professor Blackie - N. - N.W,,granite,,,,N. - N.W.,,1,,,3,782
97,97,Boddam - Oban Bay,,granite,,,,,,1,,,4,782
98,98,Boddam - Dunbeg - Connal Ferry,,,,,,,,1,,,5,782
99,99,"Boddam - N.W - “ Lailt,”",,granite - porphyry,,,,N.W. - N.E.,,1,,,6,782
100,100,Boddam - N.W,,granite,,,,"N, - N.W.",,1,,,2,782
101,101,Boddam - Professor Blackie - N. - N.W,,granite,,,,N. - N.W.,,1,,,3,782
102,102,Boddam - Bonawe Ferry - Innerlievern,11 x 9 x 7,granite,,,,,,1,,,3,783
103,103,Boddam - Kerrera - Granite - Ballimore - Morven - Mull,,granite - Granite,,,height above sea level : 440 feet,,,1,,,4,783
104,104,Boddam - Bal-na-Bok,,granite,,,,,,1,,,5,783
105,105,Boddam - Mull Island,,granite - slate,,,,,,1,blue clay,,6,783
106,106,Boddam - Mull Island,,,,,,,,1,clay,,7,783
107,107,Boddam - N.W.,,,,,height above sea level : 2725 feet,"N. - W, - N.W. - W.N.",,1,,Ben Cruachen,9,783
108,108,Boddam - Cruachan,,granite,,,,,,4,,,10,783
109,109,Boddam - N.W,,,,,,"N.W,",,1,,,11,783
110,110,Boddam - W.S.W. - Loch Awe,,,,,height above sea level : 2000 feet,"W.S.W., - N.W. - N,, - N.N.W,, - W.N.W,,",,1,gravel,,12,783
111,111,Boddam - Linnhe Loch,,granite,,,,,,2,,,14,783
112,112,"Boddam - Loch Creran. - Fasnacloich - ¢“Baron’s Stone,”",,black granite - Granite - Silurian,volume : 240 cubic feet,weight : 36 tons,height above sea level : 10Q feet - height above sea level : 1047 feet,"S. - W,",,1,,,2,784
113,113,Boddam - Skye - Mull,,,,,,,,1,,Judd,3,784
114,114,Boddam - Loch Creran - Appin,,black mica,,,,,,1,,Judd,4,784
115,115,Boddam - Glen Creran,,,,,,,,1,knoll,,7,784
116,116,Boddam - Glen Creran - Carroban Pass - S.E.,11 x 74 x 5,Granite,,,,S.E. - N. - S.,,4,,Hall,8,784
117,117,"Boddam - Loch Creran. - Fasnacloich - ¢“Baron’s Stone,”",,black granite - Granite - Silurian,volume : 240 cubic feet,weight : 36 tons,height above sea level : 10Q feet - height above sea level : 1047 feet,"S. - W,",,1,,,2,784
118,118,"Boddam - Edinburgh - Doune Loch. - *7The Kirkstane,”",25 x 20 x 12,granite,,,,,,1,,,1,785
119,119,Boddam - Girvan. - Turnberry Point,,granite - whinstone - sandstone,,,,,,1,,,2,785
120,120,Boddam - Girvan. - Turnberry Point,,,,weight : 180 tons - weight : 100 tons,,,,2,,,3,785
121,121,Boddam - Misk Farm - Flint - Inchlonaig - Loch Lomond - Glasgow,diameter : } inches,,,,,,,1,clay,David Robertson,4,785
122,122,Boddam - River Doon - Auchindrane - Wallace's Stone - Dailly - Girvan,,Granite,,,height above sea level : 230 feet,,,1,,Professor Geikie,5,785
123,123,Boddam - Near Hunterston - Cumbrae Island - Arran,11 x 6 x 54 - girth : } feet,granite,,,,,,1,,,6,785
124,124,Boddam - Ardrossan - Boyd,19 x 19 - height : 9 feet,porphyry - Sandstone,,weight : 320 tons,,N.W.,,1,,Alexander,7,785
125,125,Boddam - Ardrossan - Boyd,,gneiss,,,,,,2,,Alexander,8,785
126,126,Boddam - Stinchar Valley. - Boulder - Poundland,,,,,,,,1,,,9,785
127,127,Boddam - Culmonell.,27 x 23 x 12,,,weight : 552 tons,height above sea level : 200 feet,"N,",,1,,,2,786
128,128,Boddam - Culmonell.,21 x 21 x 10,,,weight : 326 tons,,"N,",,1,,,3,786
129,129,Boddam - QOn Cuffs Hill,,porphyry - granite,,,,"N. - W,",,1,,,5,786
130,130,Boddam - Beith - Aryshire - Old Red Sandstone,,Sandstone - granite,,,,,,1,,Robert Craig,6,786
131,131,Boddam - Greenock - Argyleshire - N.W,,sandstone - quartz - mica - schist,,,,N.W.,,1,,"Messrs Crosskey, Robertson",8,786
132,132,Boddam - Greenock - Argyleshire - N.W,,,,,,,,1,bed,Robertson,9,786
133,133,Boddam - Peterhead - Aberdeenshne - Caithness - Jamieson,,granite - trap,,,,,,4,,Lond. Geol,3,787
134,134,Boddam - S.E,,granite,,,,S.E.,,1,,Boyndbe,4,787
135,135,Boddam - Lamberton Hill - N. - N.N.W,,porphyry,,,height above sea level : 500 feet,S. - N. - N.N.W.,,2,,,5,787
136,136,Boddam - Banff. - Peterhead - Caithness,,granite - gneiss - blue whinstone,,,,,,1,clay - bed,,2,787
137,137,Boddam - Peterhead - Aberdeenshne - Caithness - Jamieson,,granite - trap,,,,,,4,,Lond. Geol,3,787
138,138,Boddam - S.E,,granite,,,,S.E.,,1,,Boyndbe,4,787
139,139,Boddam - Lamberton Hill - N. - N.N.W,,porphyry,,,height above sea level : 500 feet,S. - N. - N.N.W.,,2,,,5,787
140,140,Boddam - Burnmouth.—Near railway station,,granite,,,,,,1,gravel - bed,,6,787
141,141,Boddam - Kincardine O’Neil - Deeside - Ballatar - Braemar - Island of Uist - Hebrides,,granite,,,,,,1,,Macdonald,7,787
142,142,Boddam - BERWICKSHIRE - Coldstream. - Hirsel the Earl of Home,,,,,,,,1,gravel - bed,,8,787
143,143,Boddam - Cockburn - Duns - Berwickshire - Grampians,length : 3 feet,mica - schist,,,,N.N.W.,,1,,,2,788
144,144,Boddam - Old Red Sandstone,5 x 31 x 2,Sandstone - red felspar - black hornblende - mica,,,,N. - W.,,1,,,3,788
145,145,Boddam - Marchmont - Old Red Sandstone - Gordon,,blue whinstone - Sandstone,,,height above sea level : 930 feet,,,1,,Hugh Hume Campbell,5,788
146,146,Boddam - Gavinton. - Kyles Hill - Dirrington,,sand,,,,"W, - N.,",,1,clay - gravel - sand,,6,788
147,147,Boddam - Ayton Parish - Whitfield - Cockburn Law,,granite,,,height above sea level : 270 feet,W.N.W.,,1,,,7,788
148,148,Boddam - East Lothian,,white sandstone,,,,,,1,,,10,788
149,149,Boddam - Edinburgh - Session,,granite,,weight : one tons - weight : two tons,height above sea level : 300 feet,N.W.,,1,,,1,789
150,150,Boddam - Edrom Parish. - Blackadder - Hardens - N.W.,,blue whinstone,,,height above sea level : 250 feet - height above sea level : 500 feet,"N.W.,",,1,knoll - gravel,,2,789
151,151,Boddam - Hutton Parish. - Paxton - N. - Borthwick Hill - N.N.W. - Kyles Hill - Dirring,74 x 4,blue whinstone - red conglomerate,,weight : 10 tons,height above sea level : 230 feet - height above sea level : 600 feet,"N.W, - N., - N.N.W.,",,1,bed - clay,,3,789
152,152,Boddam - Broadmeadows - Sunwick,,blue whinstone,,,,,,1,,,4,789
153,153,Boddam - Pistol Plantations - Edrom - Berwickshire - River Whitadder - Cockburn Law,,,,,,"N. - W,",,1,,,5,789
154,154,Boddam - Earlston Parish. - Cowden,,felspar - porphyry,,,,,,1,,,10,789
155,155,Boddam - Mordington. - Halidon Hill - Berwickshire - Stenchel - Cockburn Law - W.N,,,,,height above sea level : 400 feet,"W.N. - W,",,1,,,4,790
156,156,Boddam - Berwickshire - Mull,,,,,,,,1,,"Stevenson, Duns",5,790
157,157,Boddam - Greenlaw Muir - Tweed - Kelso - N.E,12 x 6 x 3,mica - schist - Mica,,,,N. - N.N.E.,,1,,,6,790
158,158,"Boddam - Hume Parish. - ‘“Bell Stane.” - ““ Beltane,”",,trap - Conglomerate,,,height above sea level : 740 feet - height above sea level : 400 feet,"E. - W, - N.W., - N. - W.",,1,,Bell Stane,2,790
159,159,Boddam - Edinburgh,diameter : 4 inches - Height : 190 feet,Conglomerate,,,,,,1,,,1,791
160,160,"Boddam - Jordanhill - Lies - Sizth Report - “Split Boulder,”",,,,,,"N.E. - N,",,1,,Smith,3,791
161,161,Boddam - Old Red Sandstone - Arran - Big Cumbrae - Rothesay - Toward - N. - N.W,,white porphyry - sand - Sandstone - granite - quartz,,,height above sea level : 1114 feet - height above sea level : 600 feet,N. - N.W.,,1,bed - clay - sand - Pebbles,Ailsa Craig,4,791
162,162,Boddam - Arran - Island,,,,,,,,1,,,5,791
163,163,Boddam - Corriegill. - Boulder - N.W,,granite,,,,"N.W. - N.N.W,",,1,,,6,791
164,164,Boddam - Corriegill. - Boulder - N.W,,,,,,N. - S.,,1,,,7,791
165,165,Boddam - W. Rock - S.,,granite - sandstone,,weight : 620 tons,height above sea level : 93 feet,"N. - W. - S.,",,2,,,8,791
166,166,"Boddam - Corrie - ¢ Catstane,”",,,,,,,,1,,,9,791
167,167,Boddam - N. and S.,,granite,,weight : 212 tons,,"N. - S.,",,1,,,1,792
168,168,Boddam - N. and S.,height : 12 feet,granite - Conglomerate,,,,,,1,,,2,792
169,169,Boddam - N. and S.,,Conglomerate - Sandstone,,,,,,1,,,3,792
170,170,Boddam - N. and S.,,Conglomerate,,,height above sea level : 587 feet,,,1,,,5,792
171,171,Boddam - N. and S.,long : 23 feet - wide : 9 feet - high : 12 feet,granite,,weight : 184 tons,height above sea level : 1270 feet,N. - S.,,1,,,6,792
172,172,Boddam - Loch Ranza,,,,,height above sea level : 2000 feet,N.,,1,,,7,792
173,173,Boddam - Brodick Bay - Goatfell,,,,,,N. - N.N.E.,,1,,,8,792
174,174,Boddam - Edinburgh,,,,,,,,1,clay,"Watson, Watson, Messrs Bryce, Croskey, Jamzeson",1,793
175,175,Boddam - Bute Island. - Rothesay - Old Red Sandstone,,Sandstone - slate - granite,,,,,,1,clay,,2,793
176,176,Boddam - Ettrick Bay,,,,,,,,1,,,3,793
177,177,Boddam - Barone Hill,,Conglomerate,,,,"N, - W, - N.",,1,,,6,793
178,178,Boddam - Bute Island. - Rothesay - Old Red Sandstone,,Sandstone - slate - granite,,,,,,1,clay,,2,793
179,179,Boddam - Golspie - N.W.,,Conglomerate - granite,,,,N.W.,,1,,Joass,1,794
180,180,Boddam - *°Grey Stone.”,9 x 7 x 5,Conglomerate,,,,W. - N..,,1,,,2,794
181,181,Boddam - Scrabster Harbour.,,,,,,,,1,clay,Jamieson,4,794
182,182,Boddam - Wick Bay.,length : 12 feet,sandstone - mica - slate - granite,,,,,,1,bed - clay,Jamieson,7,794
183,183,Boddam - Loch Lomond - Fruin Water - K. and W. - Rocks - Old Red Sandstone,28 x 18 x 7,mica - schist - Sandstone,,weight : 246 tons,height above sea level : 150 feet - height above sea level : 2000 feet,"W., - N, - W.",,1,bank,,3,795
184,184,Boddam - Brora - Clyne - Milltown - N.N.W.,,turf - mica - schist,,,,N.N.W. - N.E.,,1,,Roderick Murchison,2,795
185,185,Boddam - N.W,,,,,,N.W.,,1,,,1,796
186,186,Boddam - Loch Lomond - Arden,5 x 4 x 4,granite - Sandstone - whinstone - Conglomerate,,,height above sea level : 337 feet,E. - W. - N.W.,,3,bank,,2,796
187,187,Boddam - Cameron House - S.E - Wamphray.,61 x 5 x 5,gneiss - whinstone,,,,"N.W, - S.E,",,1,,,3,796
188,188,Boddam - Kirkeonnel. - Spango Water,diameter : 7 feet,Granite - granite,,,height above sea level : 700 feet - height above sea level : 2331 feet,S.E.,,1,,,7,796
189,189,Boddam - Loch Lomond - Arden,5 x 4 x 4,granite - Sandstone - whinstone - Conglomerate,,,height above sea level : 337 feet,E. - W. - N.W.,,3,bank,,2,796
190,190,Boddam - Cameron House - S.E - Wamphray.,61 x 5 x 5,gneiss - whinstone,,,,"N.W, - S.E,",,1,,,3,796
191,191,"Boddam - ¢ Caer-man,”",,porphyry,,,height above sea level : 720 feet - height above sea level : 1900 feet,W.,,1,,Ralph Richardson,4,796
192,192,"Boddam - ¢ Caer-man,”",,,,,,,,1,,,5,796
193,193,Boddam - Langholm. - Wauchope,16 x 11 x 61,granite - Sandstone,,,,,,1,bed,W. Strachan,6,796
194,194,Boddam - Kirkeonnel. - Spango Water,diameter : 7 feet,Granite - granite,,,height above sea level : 700 feet - height above sea level : 2331 feet,S.E.,,1,,,7,796
195,195,Boddam - Edinburgh - Bothal - North Cumberland - Dumfriesshire - N.W,9 x 5,Silurian - Conglomerate - granite,,,height above sea level : 500 feet,"N, - N.W.",,1,,Harkness,1,797
196,196,Boddam - Roseisle,,Conglomerate,,,,"N.W.,",,1,,,2,797
197,197,Boddam - Llanbryde - St Andrews. - Gneiss - Old Spynie Loch,15 x 9 x 7,Gneiss,,,,N.N.E.,,1,bed,,3,797
198,198,Boddam - New Spynie. - Old Red Sandstone,,Conglomerate - Sandstone,,,,,,1,,,4,797
199,199,Boddam - New Spynie. - Old Red Sandstone,,hornblende - gneiss,,,,,,6,,,5,797
200,200,Boddam - Near Darnaway Castle,,granite - gneiss,,,,,,1,,,6,797
201,201,"Boddam - Elgin. - Boulder - Bogton Farm - N.W. - ¢Carlin’s Stone,” - ¢Young Carlin’s Stone.”",,Conglomerate - quartzite,,,height above sea level : 230 feet,N.W.,,1,pebbles,,8,797
202,202,"Boddam - Elgin. - Boulder - Bogton Farm - N.W. - ¢Carlin’s Stone,” - ¢Young Carlin’s Stone.”",,granite - gneiss - sand,,,,,,1,clay - sand,,9,797
203,203,Boddam - Carden Hill - N.W,,,,,,W. - N. - N.W.,,1,,,10,797
204,204,Boddam - Quarrywood Hill - N.W.,,Sandstone - Conglomerate,,,,N.W.,,4,,,13,797
205,205,Boddam - Upper Caliper Farm - Cromarty - N.W. - Moray Firth,,Conglomerate - reddish quartzite,,,,N.W. - N.,,1,pebbles,,1,798
206,206,Boddam - Forres - Nairn.,,sand,,,,,,1,sand - gravel - stratified - Pebbles,,2,798
207,207,Boddam - Lossiemouth.,,Conglomerate,,,,,,1,,,3,798
208,208,Boddam - Limestone - Ross - Sutherland,,,,,,,,1,clay,,4,798
209,209,Boddam - Duffus Schoolhouse,,,,,height above sea level : 125 feet,,,1,,,5,798
210,210,"Boddam - N.W. - ‘¢ Witch-stone,”",,Conglomerate - sand,,,,"N.W.,",,1,bed - sand,,6,798
211,211,Boddam - Clarkely Hill - N.W,,sandstone - granite - gneiss,,,,W. - N.W.,,1,,,7,798
212,212,Boddam - Morayshire,,,,,,,,1,,William Jolly,8,798
213,213,"Boddam - Loch Ness - Mealfourvonie - Nairn - Moray - Banff - Culloden - Cumberland Stone - Virgin - ¢Laigh of Moray.’” - *Culloden or Cumberland Stone,” - “ Clach-an-Oidhe” - “Stone of the Virgin,” - *“Grey Stone” - woods,—* Clach-na-Calliach,” - ¢Stone of the Witch,”— - “Clach-nan-Gllean or Bog’s-stone,”",20 x 15 x 9,Conglomerate - quartzite,,,height above sea level : 3060 feet,,,2,bank,Tom Reoch,9,798
214,214,"Boddam - Loch Ness - Mealfourvonie - Nairn - Moray - Banff - Culloden - Cumberland Stone - Virgin - ¢Laigh of Moray.’” - *Culloden or Cumberland Stone,” - “ Clach-an-Oidhe” - “Stone of the Virgin,” - *“Grey Stone” - woods,—* Clach-na-Calliach,” - ¢Stone of the Witch,”— - “Clach-nan-Gllean or Bog’s-stone,”",,Conglomerate,,,,,,1,,,10,798
215,215,Boddam - Lidvnburgh,,quartzite - porphyry,,,,,,1,clay,Jolly,1,799
216,216,"Boddam - *Blue Stone of Bal- comie,”",10 x 8 x 6 - 12 x 8 x 8,Conglomerate - Granite - trap,,,,S. - N.,,1,clay,Jolly,2,799
217,217,Boddam - Dunfermline. - *“The Witch Stone.”,7 x 15 x 6,Whinstone,,,,,,1,,,3,799
218,218,Boddam - Newburgh. - Boulder - Perthshire - North,,sienitic - gneiss,,,,N. - W.,,1,,,5,799
219,219,Boddam - West Lomond. - Red Sandstone - Carboniferous Limestone,,Sandstone - porphyry,,,,,,1,,,6,799
220,220,Boddam - West Lomond. - Red Sandstone - Carboniferous Limestone,,sienitic,,,,W. - N.,,1,,,7,799
221,221,Boddam - Bogward Den. - St Andrews - Drum Carro Craig - N.W,12 x 9 x 8,Mica - schist - Conglomerate,,,,N.W.,,1,,,8,799
222,222,Boddam,girth : 23 feet - height : 4 feet,granite - trap - tuff,,,,,,1,,,1,800
223,223,Boddam - N.W,8 x 4 x 24,Whinstone - Granite - sienitic - gneiss,,,,N.W.,,1,,,2,800
