,Numbers,Location,Size,Rocktype,Page_Number,Extra,BNum,Author,Verified
17,18,Ellon - Ythan - Ebrie,22 x 9 x 8 ,sienitic - greenstone,24,gneiss,1,Jamieson,CORRECT
18,20,Kemnay - Kemnay.,"38 x 30 x 10, 35 x 30 x 10, 25 x 23 x 8, 28 x 25 x 8, 30 x 28 x 10, 33 x 27 x 6, 21 x 20 x 3",blue gneiss,24,"Grey Granite, Legend Devil threw boulders",7,,CORRECT
19,25,Appin,20 x 18 x 11,Granite,26,,1,Reporters—James M¢Dougall and Sir James Alexander,CORRECT
20,26,Appin - Glen,,Granite,26,Line,Several,Reporters—James M¢Dougall and Sir James Alexander,CORRECT
21,27,Duncansburgh - Kilmalie,7 x 5 x 5,Granite,26,“ Trystiug Stone.”,1,"(Reporter—Patrick Gordon, mind Q)",CORRECT
22,29,Dunoon - Kirn,21 x 14 x 7,Trap,26,"clay, mica schist",1,"(Reporter—Rev. James Hay, minister of Kirn.)",CORRECT
23,30,Glencoe,90 Girth 10 High,Trap,26,,1,Captain White,CORRECT
24,31,lnishail - Taynuilt inn,,Granite,26,"""Rob Roy’s Putting Stone""",1,"Robert M McFarlane, Campbell",CORRECT
25,32,lnishail - Dalmaly - Tyndrum,,Granite,26,,Several,"Robert M McFarlane, Campbell",CORRECT
26,33,lnishail -  Corryghoil farm,,Granite,26,Fine,1,Campbell,CORRECT
27,34,Inverchaolain,10 x 7 x 5,Gneiss,27,"""Old Wife's Rock""",1,"(Reporter—John R. Thompson, schoolmaster Inellan.)",CORRECT
28,35,Inverchaolain,,,27,,Several,"(Reporter—John R. Thompson, schoolmaster Inellan.)",CORRECT
29,36,lona - Island,24 x 18 x 6,Granite,27,,1, Allan M Donald,CORRECT
30,39,lona - Island - NW Hill,24 x 18 x 6,Granite,27,,Several,Allan M Donald,CORRECT
31,40,Kilbrandon - Easdale - Lord Breadalbanc’s estate,21 - 28 Girth,grey granite,27,,Several,"(Reporter— Alexander M‘Millan, schoolmaster Kilbrandon.)",CORRECT
32,42,Kilmallie ,12 x 10 x 10,,27,,1,,INCORRECT
33,43,Kilmore - Kilbride,"12 Diameter, 5 Long",Granite,27,Conglomerate,1,"C. M*‘Dougall, Dunollie",INCORRECT
34,44,Suddell (Kintyre),,granite,28,Whinstone rocks,Several,"(Reporter—Rev. Jolin G. Levach, Manse of Saddell.)",INCORRECT
35,45,Campbelton - Macharioch,4 x 5 x 2,granite,28,,1,"(Reporter—Professor Nicol, Aberdeen.)",CORRECT
36,46, Campbellton - Southend,18 Circumference,granite,28,Broken up,1,D. Montgommerie,CORRECT
37,47, Campbellton - Southend,12 Circumference,granite,28,,1,D. Montgommerie,CORRECT
38,48,Coylton.,11 x 7 x 5 ,granite,28,Legend King Eat of boulder,1,"(Reporter— Rev, James Glasgow.)",INCORRECT
39,49,Coylton.,11 x 7,granite,28,,4,"(Reporter— Rev, James Glasgow.)",INCORRECT
40,51,Doone - Doone Loch.,25 x 20 x 12,granite,29,"""Kirk Stane""",2,Covener,CORRECT
41,52,Girvan - Turnberry Point,,"granite, whinstone",29,,Thousands,Superintendent of Turnberry Lighthouse works,INCORRECT
42,53,Girvan - Turnberry Point,17 x 13,Greywacke,29,,2,,INCORRECT
43,54,Maybole - Auchindrane,,Granite,29,"""Wallace's Stone""",1,Prof Geikle,INCORRECT
44,55,Banff - Peterhead,4 x 2 x 1,"Granite, Trap",29,clay,Several,Jamieson,INCORRECT
45,56,Boyndie - Shoreline,,Hypersthene,29,"""Boyndie Heathens""",Several,"(Reporter—James Iunter, Academy, Banft.)",INCORRECT
46,57,Fordyce - Ordiquihill parish,,blue whinstone,29,"""heathens""",Several,Parish Minister,INCORRECT
47,60,Dunnet ,,Conglomerate,29,,1,Robt. Campbell,INCORRECT
48,61,Thurso.—Castletown,,granite,30,,1,"John Cleghorn,  J. Anderson",INCORRECT
49,62,Thurso - Castletown,,Conglomerate,30,,Several,"John Cleghorn,  J. Anderson",INCORRECT
50,63,Wick,,conglomerate,30,,3,(Reporters —Joln Cleghorn and J. Anderson.),CORRECT
51,64,Wick,,Granite,30,,1,R. L. Jack,INCORRECT
52,66,Kirkconnell.,9 Diameter,granite,30,“Deil’s Stone.”,1,R. L. Jack,INCORRECT
53,67,T'ynron,,Whinstone,30,,3,"(Reporter—James Shaw, school master Tynron, Thornhill.) ",INCORRECT
54,68,Wamphray ,,Whinstone,30,,1,Parish Minister,CORRECT
55,69,Edinburgh - Arthur Seat,,Limestone ,30,,1,Roy. Soc.,INCORRECT
56,70,Pentland Hills,,Mica Slate,31,,1,Fleming,CORRECT
57,71,Pentland hills,,Greenstone,31,,1,Fleming,CORRECT
58,72,Pentland Hills,,Sandstone,31,,1,Maclaren,CORRECT
59,73,Pentland Hills - Dreghorn,,Greenstone,31,,1,Fleming,CORRECT
60,74,West Calder.,8 x 7 x 7,sandstone,31,Sandstone,1,S B Landells,CORRECT
61,75,Elgin - Dallas,,granite,31,,1,(Reporter—Jolin Martin.),INCORRECT
62,76,Duffus,21 x 14 x 4,Conglomerate,31,"""Hare or Witch's stone""",1,,CORRECT
63,77,Elgin - Bogton Farm,15 x 10 x 8,Conglomerate,31,"""Carlins stone"", ""Young Carlin""",2,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
64,78,Elgin - Pluscardie Chapel,13 x 8 x 6,Gniess,31,"""Chapel Stone""",1,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
65,79,Elgin,12 x 8 x 3,Sienite,31,,1,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
66,80,Elgin,8 x 6 x 2,Sienite,31,,1,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
67,81,Forres,9 x 8 x 8,Conglomerate,31,""" Doupping Stone.""",1,(Reporter—Jolin Martin.),CORRECT
68,82,"Llanbryde, - St Andrews",15 x 9 x 7,Gneiss,31,"""Grey Stone"", spynie loch",1,(Reporter—John Martin.),CORRECT
69,83,Rothes,,hornblende,32,gniess,6,(Reporter—John Martin.),CORRECT
70,84,Balmerino,12 x 9 x 8,Mica Schist,32,Destroyed,1,"(Reporter—James Powrie, Esq., Reswallie, Forfar.) ",CORRECT
71,85,Crail - East Neuk,10 x 8 x 6,Granite,32,""" Blue Stone o Balcomie.”",1,"(Reporter—Captain White, R.E.)",CORRECT
72,86,Crail - East nuek,12 x 8 x 7,Trap,32,,1,"(Reporter—Captain White, R.E.)",CORRECT
73,87,Dunfermline.,17 x 15 x 6,granite,32,"""Witch's Stone"" Legend",1,(Reporter—Robert Bell. Pitconochie.),CORRECT
74,88,Newburgh - Flisk point,,sientic gneiss,32,Legend - Flung by giant,1,Dr Fleming,CORRECT
75,89,West Lomond Hill,,"red sandstone, porhyry",32,coboniferous limestone,1,John Sang,INCORRECT
76,90,Benholm,,granite,32,"""Stone of benholm"" - Destroyed, Trap knoll",1,Mr Smart Ayers,CORRECT
77,91,Benholm,"18 x 12 x 3, 6 x 4","granite, gniess",32,Conglomerate,1,(Reporter—Robert Bell. Pitconochie.),CORRECT
78,92,Carmyllie.,,"Granite, gneiss",33,"""The Cold Stone of the Crofts""",1,(Reporter—Rev. George Anderson.),CORRECT
79,93,Cortachy,13 x 10 x 8,Whinstone,33,"Trap, Legend thrown from NW",1,(Reporter—Rev. Geo. Gordon Milne.),CORRECT
80,94,Cortachy - South Esk River,,mica schist,33,,1,Mr Powrie,CORRECT
81,95,Kirkden,,granite,33,Destroyed,2,(Reporter—Rev. Patrick Steven- SO1.),CORRECT
82,96,Kirriemuir - Parish,,Grey and Red gneiss,33,,Several,(Reporter—Rev. George Anderson.),CORRECT
83,97,Liff,8 x 6 x 4,"Mica Schist, Whinstone ? ",34,"""Paddock stone""",1,,INCORRECT
84,98,Menmuir,14 x 9 x 4,Granite,34,"""Witch Stone""",1,"(Reporter—Itev, Mark Anderson, Mennmir, Drechin.)",CORRECT
85,99,Menmuir,13 x 9 x 4,Granite,34,,1,"(Reporter—Itev, Mark Anderson, Mennmir, Drechin.)",CORRECT
86,100,Rescobie,13 x 7 x 7,Mica slate,34,Drift,1,"harles Lyell, Creigh Till",CORRECT
87,103,St Vigeans.,,Gneiss,35,Destroyed,1,"(Reporter—Rev.William Duke, minister )",CORRECT
88,104,Barvas - On Estate of Sir James Matheson,16 Girth 18 Height,Gneiss,35,"""Gathering Stone""",1,(Reporter— Rev. James Strachan.),CORRECT
89,105,North Uist. - Caneum,,Laurentian gneiss,35,,2,Alex Charmical,CORRECT
90,110,"The Lewis (Stornoway, Tolsta)",12 x 5 x 4,gneiss,36,Gniess,1,"(Reporter—J>Mr Peter Liddell, Gregs, by Stornoway.)",INCORRECT
91,111,Stornoway - Garabast,,gneiss,36,,Several,Henry Cannter,INCORRECT
92,115,Kimallie - Ardgour,,"Quartz, Mica",42,,15,"(Reporter—C. Livingston, parochial schoolmaster )",CORRECT
93,116,Kltarlity - Lord Lovat Land,"15 x 10 x 9, 8 x 13 x 6",whinstone,43,,2,Schoolmaster,CORRECT
94,117,Lochaber - Craig Dhu summit,14 x 8 x 4,Black Sienite,43,,1,"(- Lond. Geol. Soce. Journal,” Aug. 1362 and Aug. 1863.) ",CORRECT
95,118,Lochaber - Craig Dhu summit,,"granite, felspar",43,,Several,"(- Lond. Geol. Soce. Journal,” Aug. 1362 and Aug. 1863.) ",CORRECT
96,119,Morvern,,grey granite,44,"""Clach nam Buachaillean.""",1,Schoolmaster,CORRECT
97,121,Banchory.,44 Circumference 8 Height,Blue granite,44,"""Bishops Stone""",1,,CORRECT
98,123,Fettercairn - Parish,,,44,"gravel, sand",1,"Reporter—A. C. Cameron, parish schoolmaster ",CORRECT
99,124,Maryculter,5 x 6 x 6,granite,44,,1,(Reporter—David Durward.),CORRECT
100,125,Kclls - Craigenbay Farm,54 girth 10 high 17 length,whinstone,45,,1,"(Reporter—Robert Wallace, Auchenbrack, Tyunron.)",CORRECT
101,126,Kirkbean - Arbigland,16 x 9 x 7 ,Grey Granite,45,Freestone,1,,CORRECT
102,127,Kirkbean - Criftel,,Granite,45,,Several,"(Reporter—Rev, James Fraser, Colvend Manse, by Dalbeattie)",CORRECT
103,129,Penninghame,,Granite,45,,Several,"(Reporters—Rev, William M-",CORRECT
104,131,Twynlolin,,Granite,45,,6,(Reporter—Rev. John Milligan. Manse of Twynholm.) ,CORRECT
105,132,Curneith,,Whinstone,46,"Legend - Michael Scott and Witches, Heaps",3,(Reporter—Iev. Mr M- Lean.),CORRECT
106,133,Auldearn - Parish,,"Conglomerates, Quartz, Hornstone",46,Old Red Sandstone,Several,"(Reporter—James Rennie, school master)",CORRECT
107,135,Cawder - Piper’s Hill,,Conglomerate,47,Old Red Sandstone,1,"W. Stables, John Grant",INCORRECT
108,137,Croy,27 Girth 15 High,Conglomerate,47,"""Tomreach""",1,"(Reporter—Captain White, RUIC)",CORRECT
109,138,Shetland - Bressay,10 x 7 x 4,White Sandstone,47,,Several,(Reporter—School- master?),INCORRECT
110,140,Eday (Orkney),12 x 7 x 1,Conglomerate,47,"""Giants Stone"", Legend thrown from island",1,,INCORRECT
111,141,Sunday (Orkney),7 x 2 x 6,Gneiss,48,Legend thrown from shetland,1,"Gr. Miller, Cross and burness",INCORRECT
112,142,Sumburgh Head (Shetland),,Conglomerate,48,Sandstone,1,(Reporter—Willian. Lawrcnce),INCORRECT
113,143, Walls (Orkney).,9 x 7 x 6,Lydian,48,,1,"(Reporter—James Palmey, schoolmaster Kivkurd, Dolphinton.)",CORRECT
114,144, Walls (Orkney).,,granite,48,,Several,James Russell,INCORRECT
115,145,Kirkurd,,Gniess or Trap,48,,3,"(Reporter—James Palmey, schoolmaster Kivkurd, Dolphinton.)",INCORRECT
116,146,Aberfeldy (Tullypowrie Village),,Schist,48,Clay slate,Several,"(Reporter—Willian. Lawrcnce, teacher James Russcll] teachier.)",INCORRECT
117,147,Aberfeldy  - Tullypowrie,71 Girth 17 Height,mica slate,49,"""Clach M'had""",2,,CORRECT
118,152,Aberfeldy - Pitnacree House,15 x 11 x 4,"schist, hypersthene",49,"""Clack odhar""",1,"(Reporter—DMr M¢Naughton, merchant Tullypowrie)",CORRECT
119,153,Aucltergaven,10 x 8 x 3,Granite,49,"""Diels Stone""",1,William Duff,CORRECT
120,154,Cullendor - Bocastle Hill,14 x 9 x 9,Gneiss,50,"""Samsons putting stone"", Conglomerate",1,"(Reporter—J. B. Hamilton, Leny.) ",CORRECT
121,155,Comrie,13 x 9 x 7,"whinstone, granite",50,,4,Wm. F. Swan,CORRECT
122,156,Crieff,16 x 10 x 5,Conglomerate,50,"""Witches Stone""",1,"(Reporter—IRlev. Dr Nisbet, Edinburgh )",INCORRECT
123,157,Crieff,8 x 4 x 4,Red Granite,50,"""Cradles Stone""",1,"(Reporter—IRlev. Dr Nisbet, Edinburgh)",INCORRECT
124,158, Abercairney,,dark grey granite,50,,1,"(Reporter—C. Home Drummond Moray: aud Rev. Thomas Hardy, parish minister)",CORRECT
125,159,Doune - Kilbride,,Conglomerate,50,,1,Mr Milue Home,CORRECT
126,160,Fortingall ,,Gneiss,50,"“ Clach an Salaine,”, Clay",1,Fletcher Menzies,CORRECT
127,161,Fowlis ,"10 x 7 x 4, 12 x 6 x 4",granite,51,,2,(Reporter—Rev. Thomas Hardy.),CORRECT
128,162,Kilspindie - N.W.,,granite,51,,7,"(Reporter—James M‘Kerracher, schoolmaster by Errol.)",CORRECT
129,163,Logie .Almond,,Whinstone,51,"“The Ker Stone,”",1,,CORRECT
130,164,Logie .Almond,,conglomerate,51,"""Cul na Cloich"", Red Sandstone",1,"(Reporter—Rev. Patrick Macgregor, Logie Almond Manse.)",CORRECT
131,165,Logie .Almond - Risk farm,,conglomerate,51,,1,"(Reporter—Rev. Patrick Macgregor, Logie Almond Manse.)",CORRECT
132,166,Methven - Auchtergavin  Parish,10 high,Whinstone,51,"""Sack Stone""",1,(Reporter— William Duft),CORRECT
133,167,Pitlochrie—Straloch,,mica slate,51,"“ Gledstone,” Gravel, Sand",1,"(Reporter—Rev. Dr Robertson, Straloeh.)",CORRECT
134,168,Pitlochrie—Parish Church Straloch,24 Diameter 20 High,granite,52,"“ clach nhor,”, clay",1,"(Reporter—Rev. Dr Robertson, Straloeh.)",INCORRECT
135,170,Rattray.,12 x 6 x 6,Mica Schist,52,""" Glenballoeh Stone.”",1,"(Reporter— Rev. Mr Herdman, Rattray.)",INCORRECT
136,171,Kilbarchan.,22 x 17 x 12,Porphyry,52,""" Clach a Druidh""",1,"Reporters, —Robert Graham, D.D.; and RR. L. Jack",INCORRECT
137,172,Alness - Gildermoy,6 x 6,Granite,52,,1,Earl of Selkirk,CORRECT
138,173,Applecross - Rassell,,granite,52,"""Clach oiu"", ""Clach Mhoir"", ""Clach Van""",3,"(Reporter—William Ross, schioothoulse, Applecross.) ",CORRECT
139,174,Ben Wyvis,,Granite,52,,1,Prof Nicol,CORRECT
140,175,Edderton ,23 x 19 x 12,Granite,53,,1,"(Reporter—Rev. Ewen M:Ewen, parish mimster.)",CORRECT
141,176,Fannich Mountains,30 x 10 x 5,"Grey gneiss, Garnetts",53,"""Clach mhor na Biachdoil""",1,J.F Campbell,CORRECT
142,177,Lochyair,"28 x 17 x 16, 23 x 101 x 7",granite,54,"""Sandell Stone""",6,"Reporter—John MacKillop, schoolmaster ",CORRECT
143,179,Shieldag - Loch Carron,16 x 10 x 10,Granite,54,,1,"(Reporter —Rev. Alex. C. M¢Iutyre, Shieldag Manse, Dingwall.)",CORRECT
144,180,Granite,18 x 12 x 8,Sandstone,54,Old red sandstone,1,(Reporter—Robert Gordon.),CORRECT
145,181,Tarbat - Tarbat.,,granite gniess,54,clay,7,"(Reporter—Rev. George Campbell, parish mimster.)",CORRECT
146,182,Jedburgh,,Porphyry,54,Destroyed,1,,INCORRECT
147,183,Kilsyth,7 x 5 x 2,Mica Slate,55,,1,(Reporter—R. L. Jack (Geol. Survey),CORRECT
148,184,Strathblane,8 x 4 x 3,Conglomerate,55,,1,R.L Jack,CORRECT
149,185,Golspie,16 x 10 x 5,Old Red Sandstone,55,Oolite Rock,1,"(Reporter—Rev. James Joass, minister of Golspie.)",CORRECT
150,186,Golspie,,Old Red Sandstone,55,,3,"(Reporter—Rev. James Joass, minister of Golspie.)",CORRECT
151,187,Glasserton ,9 x 6 x 6,Granite,56,pebbles,3,(Reporter—Archibaldl Stewart.) ,CORRECT
152,188,Glasserton - Applecross Hills,,Granite,56,pebbles,1,XNicol,NOT VERIFIED
