,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
26,26,of ARGYLESHIRE. Kintyre - Edinburgh - ARGYLESHIRE,,,,,,,,1,,,1,773
27,27,of ARGYLESHIRE. Kintyre - Campbelton,,,,,,N.E.,,1,pebbles - gravel,Nicol,2,773
28,28,or sloping N.N.W - Kilhenzie - Campbeélton,,mica - slate,,,height above sea level : 600 feet - height above sea level : 150 tons,,,1,,,4,773
29,29,or sloping N.N.W - N.N.W.,,Sandstone - granite - gneiss,,,,N.N.W.,,1,bank,,5,773
30,30,or sloping N.N.W - S. - W. Boulder,,gneiss - mica - schist,,,,"N. - E, - S. - W.",,1,,,6,773
31,31,or sloping N.N.W - Tangy Burn,wide : 6 feet,mica - slate - gneiss,,weight : 15 tons,,N. - N.E.,,1,,,7,773
32,32,or sloping N.N.W - Mourne Mountains - N.E. of Ireland - Kintyre,,granite,,,,N.E.,,1,,Heddle,8,773
33,33,774 Proceedings Loch Long - Royal Society Loch Long. - Gareloch - E.,11 x 6 x 6 - Long : 6 feet,mica - slate,,,height above sea level : 350 feet,"N. - E.,",,1,clay,,1,774
34,34,774 Proceedings Loch Long - Gareloch - Shandon - N.W,18 x 15 x 12,gneiss,,,,N.W.,,1,,,2,774
35,35,774 Proceedings Loch Long - Gareloch - Shandon - N.W,,granite,,,,N.N.W.,,1,,"Charles Maclaren, Maclaren",3,774
36,36,"774 Proceedings Loch Long - Ardentinny - ¢Jenny Meullens,”",,gneiss,,,,,,1,,Jenny Meullens,4,774
37,37,"774 Proceedings Loch Long - Ardentinny - ¢Jenny Meullens,”",12 x 8 x 8,gneiss,,,,"N.W. - N. - N, - W.",,1,,N. Strize,5,774
38,38,"774 Proceedings Loch Long - Loch Goil - Carrick Castle - “Clach Udalain” - “Stone unstable”),",,gneiss - slate,,,height above sea level : 1526 feet - height above sea level : 300 tons,,,1,clay,"(Third Report, pa 2)",6,774
39,39,Knap Farm - Knap Farm.,,Knap,,,,,,1,,,8,774
40,40,"Knap Farm - ¢ Pulag,”—Dbutted",,Gneiss,,,height above sea level : 824 feet,,,1,,Glen Finnart,9,774
41,41,Firth of Clyde - Dunoon - Kirn - Innellan - Toward Lighthouse - Loch Striven,,,,,,,,1,,,10,774
42,42,Firth of Clyde - Ldinburgh,,,,,,N.W.,,1,,Dugald Bell,1,775
43,43,Inveraray - Loch Glashan - N.N.E. - Loch Awe,,,,,height above sea level : 400 feet,N.N.E. - N.E. - N.W.,,2,,,2,775
44,44,East Loch Tarbert - East Loch Tarbert.,high : 8 feet - width : 5 feet,gneiss,,,height above sea level : 710 feet,N.W.,,1,,Capel Cloiche,3,775
45,45,East Loch Tarbert - Loch Glashan - N.N.E. - Loch Awe,,,,,height above sea level : 400 feet,N.N.E. - N.E. - N.W.,,2,,,2,775
46,46,East Loch Tarbert - Boulder - S.,,,,,height above sea level : 400 feet,S. - S.W.,,1,,"(Nunth Report, pa 3)",2,776
47,47,East Loch Tarbert - Boulder - S.,,sienitic - gneiss - slate,,,,,,1,clay,,5,776
48,48,East Loch Tarbert - Boulder - S.,,,,,,,,3,,"(Seventh Report, pa 4)",6,776
49,49,Ardchattam - Ben Breac,14 x 12 - Height : 57 feet,Granite - sand,,,,,,1,sand - gravel,"(Reporter, Captain White, R.E.)",7,776
50,50,Lockh Fyne - Lockh Fyne. - Loch Guir,23 x 17 x 12,gneiss,,weight : 286 tons,,"N.N.E. - S.S. - W,",,1,knoll - gravel,,8,776
51,51,Inveraray - Boulder - Argyll,,porphyry,,,height above sea level : 1000 feet,,,1,,,9,776
52,52,Inveraray - Boulder,,Conglomerate,,,height above sea level : 800 feet,,,1,,"(Fourth Report, pa 10)",10,776
53,53,Inveraray - Loch Fyne - Loch Awe,,,,,height above sea level : 1800 feet,W.,,1,,Anderson Smith,11,776
54,54,Inveraray - Loch F,,granite,,,,,,1,,"Anderson Smith, Anderson Smith",2,777
55,55,Inveraray - Loch Awe. - Port Sonnachan,13 x 12 x 6 - diameter : 10 feet,gneiss - mica - schist - Granite,,weight : 15 tons,height above sea level : 1026 feet,N. - S. - N.W. - W.,,1,,"(Sizth Report, pa 8)",3,777
56,56,Inveraray - S.E,18 x 10 x 10,,,weight : 130 tons - weight : 10 tons,height above sea level : 900 feet,"N. - N.W. - S.E. - W,",,1,,"(Sizth Report, pa 10)",4,777
57,57,Inveraray - S.E,,,,,,,,1,,,8,777
58,58,"Brander, Pass of - Loch Awe. - Port Sonnachan",13 x 12 x 6 - diameter : 10 feet,gneiss - mica - schist - Granite,,weight : 15 tons,height above sea level : 1026 feet,N. - S. - N.W. - W.,,1,,"(Sizth Report, pa 8)",3,777
59,59,"Brander, Pass of - S.E",18 x 10 x 10,,,weight : 130 tons - weight : 10 tons,height above sea level : 900 feet,"N. - N.W. - S.E. - W,",,1,,"(Sizth Report, pa 10)",4,777
60,60,"Brander, Pass of - Brander - Pass - Black Granite Boulder - S.E",diameter : 8 feet,Granite,,weight : 10 tons,,N.W. - S.E.,,1,,,5,777
61,61,"Brander, Pass of - Grey Granite Boulder - Barcaldine Gardens - S.E",19 x 12 x 7,Granite,,,height above sea level : 400 feet,N.W. - S.E.,,1,,,6,777
62,62,"Brander, Pass of - Grey Granite Boulder - Barcaldine Gardens - S.E",diameter : 13x7 feet,,,,height above sea level : 300 feet,N. - S.,,1,,,7,777
63,63,"Brander, Pass of - Grey Granite Boulder - Barcaldine Gardens - S.E",,,,,,,,1,,,8,777
64,64,"Brander, Pass of - Loch Awe",,,,,height above sea level : 120 feet,,,1,,"(Fourth Report, pa 9)",1,778
65,65,"Brander, Pass of - Dalmally - Tyndrum",,,,,,,,1,,,2,778
66,66,"Brander, Pass of - Loch Awe - Kaim - Port Sonnachan",24 x 11 x 7,,,,,,,1,gravel - bank,,3,778
67,67,"Brander, Pass of - Inndsdrarodinick - Druid’s Isle - Loch Awe",,,,,,,,1,,"Muir, Convener",5,778
68,68,"Brander, Pass of - Ardrishaig - Loch Gilp - Loch Fyne",,,,,,N.W.,,1,,"(Sixth Report, pa 12)",6,778
69,69,"Brander, Pass of - Auchendarroch - S.E.",,,,,height above sea level : 300 feet,"N. - S. - S.E.,",,2,,,7,778
70,70,"Brander, Pass of - N.E",,,,,,N.E.,,1,,,13,778
71,71,Lock Killesport - Ormsary House,2 x 36 x 20,,,weight : 2770 tons,height above sea level : 40 feet,,,1,,,2,779
72,72,Lock Killesport - Ormsary House,,,,,,,,1,,"(Sixth Report, pa 14, and Ninth Report, pa 4)",3,779
73,73,Lock Killesport - Baronlongart Valley - Ormsary - Achloss,,,,,,W.,,1,,,5,779
74,74,Lock Killesport - Clack Briach Hill - Stone Spotted Hill - N.W - ““Big Boulder”,,gneiss - schist,,,height above sea level : 400 feet,"N.W. - N. - W, - S.E.",,1,,"(Diagrams in Ninth Report, pa 4)",6,779
75,75,Lock Killesport - Clack Briach Hill - Stone Spotted Hill - N.W - ““Big Boulder”,,,,,,,,1,,,7,779
76,76,Lock Killesport - N.W,"17 x 8 x 8, 18 x 10 x 10",,,,,"N.W.,",,2,,,8,779
77,77,Lock Killesport - Keill - Loch - Jura Island,,granite - gneiss - Silurian,,,,,,1,,,10,779
78,78,Lock Killesport - Carig Bay - Lochgilphead - Knapdale - N.W - Jura Island,,,,,,"N.W,",,1,,,11,779
79,79,Lock Killesport - Loch Mhurrich - Islay - Scotland,36 x 15 x 13,,,,,,,1,knoll,Campbell,12,779
80,80,Lock Killesport,,,,,,"W.S. - W,",,1,,"(Sixth Report, pa 16, and Ninth Report, pa 7)",1,780
81,81,Lock Killesport - Loch Sweyn,,,,,,W.N. - W.,,1,,,2,780
82,82,(5) Kilmory Bay - Kilmory Bay.,,,,,,"W.S. - W,",,1,,"(Seventh Report, pa 10, and Ninth Report, pa 9)",3,780
83,83,(5) Kilmory Bay - Lioch Sweyn - N.N.W.,,,,,height above sea level : 600 feet,"E. - W, - W.N. - W.",,1,,,6,780
84,84,Taynish - Taynish House - Inver - S. - S.W,"18 x 11 x 8, 19 x 15 x 5",,,,,N.E. - S.W.,,1,,,8,780
85,85,Taynish - Edinburgh,,,,,,,,1,,,1,781
86,86,Taynish - Ardrishaig - Castle Sweyn - Loch,,,,,,,,1,bank,,2,781
87,87,Taynish - Crinan Canal - Ballanach,16 x 9 x 9 - 12 x 8 x 6,granite - Conglomerate,,,height above sea level : 300 feet,S.W. - S.,,1,,"(Ninth Report, pa 8)",3,781
88,88,Taynish - N.W.,,Conglomerate,,,,N.W.,,1,pebbles,(Diagram given in N¢nth Report.),4,781
89,89,"(4) Dana, Island of - Loch Sweyn - Castle Sweyn",,,,weight : 80 tons,,,,1,bank,"(Seventh Report, pa 12)",5,781
90,90,"(4) Dana, Island of - Ardrishaig - Castle Sweyn - Loch",,,,,,,,1,bank,,2,781
91,91,(3) Near Crinan Oban and Neighbourhood - Crinan Canal - Ballanach,16 x 9 x 9 - 12 x 8 x 6,granite - Conglomerate,,,height above sea level : 300 feet,S.W. - S.,,1,,"(Ninth Report, pa 8)",3,781
92,92,782 Proceedings (3) Oban,,,,,,,,1,,"(Seventh Report, pa 4)",1,782
93,93,782 Proceedings (3) Oban - N.W,,granite,,,,"N, - N.W.",,1,,,2,782
94,94,782 Proceedings (3) Oban - Professor Blackie - N. - N.W,,granite,,,,N. - N.W.,,1,,,3,782
95,95,782 Proceedings (3) Oban - Oban Bay,,granite,,,,,,1,,"(Seventh Report, pa 7)",4,782
96,96,782 Proceedings (3) Oban - Dunbeg - Connal Ferry,,,,,,,,1,,,5,782
97,97,"782 Proceedings (3) Oban - N.W - “ Lailt,”",,granite - porphyry,,,,N.W. - N.E.,,1,,"(Seventlh Report, pa 8)",6,782
98,98,782 Proceedings (3) Oban - N.W,,granite,,,,"N, - N.W.",,1,,,2,782
99,99,782 Proceedings (3) Oban - Professor Blackie - N. - N.W,,granite,,,,N. - N.W.,,1,,,3,782
100,100,782 Proceedings (3) Oban - Bonawe Ferry - Innerlievern,11 x 9 x 7,granite,,,,,,1,,,3,783
101,101,"(7) Kerrera, Island of - Kerrera - Granite - Ballimore - Morven - Mull",,granite - Granite,,,height above sea level : 440 feet,,,1,,,4,783
102,102,"(7) Kerrera, Island of - Bal-na-Bok",,granite,,,,,,1,,,5,783
103,103,(8) Fuasdale - Mull Island,,granite - slate,,,,,,1,blue clay,,6,783
104,104,(8) Fuasdale - Mull Island,,,,,,,,1,clay,,7,783
105,105,(8) Fuasdale - N.W.,,,,,height above sea level : 2725 feet,"N. - W, - N.W. - W.N.",,1,,Ben Cruachen,9,783
106,106,(8) Fuasdale - Cruachan,,granite,,,,,,4,,,10,783
107,107,(8) Fuasdale - N.W,,,,,,"N.W,",,1,,,11,783
108,108,(8) Fuasdale - W.S.W. - Loch Awe,,,,,height above sea level : 2000 feet,"W.S.W., - N.W. - N,, - N.N.W,, - W.N.W,,",,1,gravel,"(Fifth Report, pa 48)",12,783
109,109,Appin - Linnhe Loch,,granite,,,,,,2,,,14,783
110,110,"Loch Creran - Loch Creran. - Fasnacloich - ¢“Baron’s Stone,”",,black granite - Granite - Silurian,volume : 240 cubic feet,weight : 36 tons,height above sea level : 10Q feet - height above sea level : 1047 feet,"S. - W,",,1,,"(First Report, pa 28)",2,784
111,111,Loch Creran - Skye - Mull,,,,,,,,1,,Judd,3,784
112,112,Loch Creran - Loch Creran - Appin,,black mica,,,,,,1,,"(Fourth Report, pa 11)",4,784
113,113,Loch Creran - Glen Creran,,,,,,,,1,knoll,,7,784
114,114,Loch Creran - Glen Creran - Carroban Pass - S.E.,11 x 74 x 5,Granite,,,,S.E. - N. - S.,,4,,(Fifth Report),8,784
115,115,Statement A Coylton - Glen Creran - Carroban Pass - S.E.,11 x 74 x 5,Granite,,,,S.E. - N. - S.,,4,,(Fifth Report),8,784
116,116,"Loch Dailly - Loch Creran. - Fasnacloich - ¢“Baron’s Stone,”",,black granite - Granite - Silurian,volume : 240 cubic feet,weight : 36 tons,height above sea level : 10Q feet - height above sea level : 1047 feet,"S. - W,",,1,,"(First Report, pa 28)",2,784
117,117,"of Edinburgh, Doune Loch - Edinburgh - Doune Loch. - *7The Kirkstane,”",25 x 20 x 12,granite,,,,,,1,,"(444 tons so called because used as a pulpit for preaching from (First Report, pa 29)",1,785
118,118,Girvan - Girvan. - Turnberry Point,,granite - whinstone - sandstone,,,,,,1,,,2,785
119,119,Girvan - Girvan. - Turnberry Point,,,,weight : 180 tons - weight : 100 tons,,,,2,,"(First Report, pa 29)",3,785
120,120,Kilwinning - Misk Farm - Flint - Inchlonaig - Loch Lomond - Glasgow,diameter : } inches,,,,,,,1,clay,David Robertson,4,785
121,121,Maybole - River Doon - Auchindrane - Wallace's Stone - Dailly - Girvan,,Granite,,,height above sea level : 230 feet,,,1,,"(First Report, pa 29)",5,785
122,122,Ardrossan - Near Hunterston - Cumbrae Island - Arran,11 x 6 x 54 - girth : } feet,granite,,,,,,1,,"(Second Report, pa 149)",6,785
123,123,Ardrossan - Ardrossan - Boyd,19 x 19 - height : 9 feet,porphyry - Sandstone,,weight : 320 tons,,N.W.,,1,,Alexander,7,785
124,124,Ardrossan - Ardrossan - Boyd,,gneiss,,,,,,2,,"(Secornd Report, pa 149, Third Report, pa 3)",8,785
125,125,Stinchar Valley - Stinchar Valley. - Boulder - Poundland,,,,,,,,1,,,9,785
126,126,Culmonell - Culmonell.,27 x 23 x 12,,,weight : 552 tons,height above sea level : 200 feet,"N,",,1,,"(Sixzth Report, pa 33)",2,786
127,127,Culmonell - Culmonell.,21 x 21 x 10,,,weight : 326 tons,,"N,",,1,,,3,786
128,128,Beith - QOn Cuffs Hill,,porphyry - granite,,,,"N. - W,",,1,,,5,786
129,129,Beith - Beith - Aryshire - Old Red Sandstone,,Sandstone - granite,,,,,,1,,Robert Craig,6,786
130,130,Beith - Greenock - Argyleshire - N.W,,sandstone - quartz - mica - schist,,,,N.W.,,1,,"Messrs Crosskey, Robertson",8,786
131,131,Beith - Greenock - Argyleshire - N.W,,,,,,,,1,bed,Robertson,9,786
132,132,Banff - Peterhead - Aberdeenshne - Caithness - Jamieson,,granite - trap,,,,,,4,,Lond. Geol,3,787
133,133,Banff - S.E,,granite,,,,S.E.,,1,,Boyndbe,4,787
134,134,Banff - Lamberton Hill - N. - N.N.W,,porphyry,,,height above sea level : 500 feet,S. - N. - N.N.W.,,2,,"(Fzrst Report, pa 29)",5,787
135,135,Banff - Banff. - Peterhead - Caithness,,granite - gneiss - blue whinstone,,,,,,1,clay - bed,"(First Report, pa 29)",2,787
136,136,Near Berwick - Peterhead - Aberdeenshne - Caithness - Jamieson,,granite - trap,,,,,,4,,Lond. Geol,3,787
137,137,Near Berwick - S.E,,granite,,,,S.E.,,1,,Boyndbe,4,787
138,138,Near Berwick - Lamberton Hill - N. - N.N.W,,porphyry,,,height above sea level : 500 feet,S. - N. - N.N.W.,,2,,"(Fzrst Report, pa 29)",5,787
139,139,Burnmouth - Burnmouth.—Near railway station,,granite,,,,,,1,gravel - bed,,6,787
140,140,Burnmouth - Kincardine O’Neil - Deeside - Ballatar - Braemar - Island of Uist - Hebrides,,granite,,,,,,1,,Macdonald,7,787
141,141,"BERWICKSHIRE, Coldstream - BERWICKSHIRE - Coldstream. - Hirsel the Earl of Home",,,,,,,,1,gravel - bed,,8,787
142,142,Duns - Cockburn - Duns - Berwickshire - Grampians,length : 3 feet,mica - schist,,,,N.N.W.,,1,,"(Second Report, pa 150)",2,788
143,143,Foulden - Old Red Sandstone,5 x 31 x 2,Sandstone - red felspar - black hornblende - mica,,,,N. - W.,,1,,,3,788
144,144,Greenlaw - Marchmont - Old Red Sandstone - Gordon,,blue whinstone - Sandstone,,,height above sea level : 930 feet,,,1,,"(Second Report, pa 150)",5,788
145,145,Gavinton - Gavinton. - Kyles Hill - Dirrington,,sand,,,,"W, - N.,",,1,clay - gravel - sand,"(Fourth Report, pa 20)",6,788
146,146,Gavinton - Ayton Parish - Whitfield - Cockburn Law,,granite,,,height above sea level : 270 feet,W.N.W.,,1,,,7,788
147,147,Coldingham Parish - East Lothian,,white sandstone,,,,,,1,,"(Séxth Report, pa 17)",10,788
148,148,"of Edinburgh, Chirnside Parish - Edinburgh - Session",,granite,,weight : one tons - weight : two tons,height above sea level : 300 feet,N.W.,,1,,"(Suxth Report, pa 17)",1,789
149,149,Edrom Parish - Edrom Parish. - Blackadder - Hardens - N.W.,,blue whinstone,,,height above sea level : 250 feet - height above sea level : 500 feet,"N.W.,",,1,knoll - gravel,,2,789
150,150,Hutton Parish - Hutton Parish. - Paxton - N. - Borthwick Hill - N.N.W. - Kyles Hill - Dirring,74 x 4,blue whinstone - red conglomerate,,weight : 10 tons,height above sea level : 230 feet - height above sea level : 600 feet,"N.W, - N., - N.N.W.,",,1,bed - clay,,3,789
151,151,Hutton Parish - Broadmeadows - Sunwick,,blue whinstone,,,,,,1,,,4,789
152,152,Hutton Parish - Pistol Plantations - Edrom - Berwickshire - River Whitadder - Cockburn Law,,,,,,"N. - W,",,1,,"(Sixth Report, pa 18)",5,789
153,153,Earlston Parish - Earlston Parish. - Cowden,,felspar - porphyry,,,,,,1,,,10,789
154,154,Mordington - Mordington. - Halidon Hill - Berwickshire - Stenchel - Cockburn Law - W.N,,,,,height above sea level : 400 feet,"W.N. - W,",,1,,,4,790
155,155,Mordington - Berwickshire - Mull,,,,,,,,1,,"(Vinth Report, pa 11)",5,790
156,156,Kavms - Greenlaw Muir - Tweed - Kelso - N.E,12 x 6 x 3,mica - schist - Mica,,,,N. - N.N.E.,,1,,"(Second Report, pa 151, and Sizth Report, pa 24)",6,790
157,157,"- Hume Parish - Hume Parish. - ‘“Bell Stane.” - ““ Beltane,”",,trap - Conglomerate,,,height above sea level : 740 feet - height above sea level : 400 feet,"E. - W, - N.W., - N. - W.",,1,,"(Séath Report, pa 19)",2,790
158,158,- Hume Parish - Edinburgh,diameter : 4 inches - Height : 190 feet,Conglomerate,,,,,,1,,"(Sixth Report, pa 25)",1,791
159,159,"- Hume Parish - Jordanhill - Lies - Sizth Report - “Split Boulder,”",,,,,,"N.E. - N,",,1,,"(Sizth Report, pa 25)",3,791
160,160,- Hume Parish - Old Red Sandstone - Arran - Big Cumbrae - Rothesay - Toward - N. - N.W,,white porphyry - sand - Sandstone - granite - quartz,,,height above sea level : 1114 feet - height above sea level : 600 feet,N. - N.W.,,1,bed - clay - sand - Pebbles,Ailsa Craig,4,791
161,161,"Arran, Island of - Arran - Island",,,,,,,,1,,,5,791
162,162,Corriegill - Corriegill. - Boulder - N.W,,granite,,,,"N.W. - N.N.W,",,1,,,6,791
163,163,Corriegill - Corriegill. - Boulder - N.W,,,,,,N. - S.,,1,,,7,791
164,164,Corriegill - W. Rock - S.,,granite - sandstone,,weight : 620 tons,height above sea level : 93 feet,"N. - W. - S.,",,2,,"(Sixth Report, pa 21)",8,791
165,165,"Corriegill - Corrie - ¢ Catstane,”",,,,,,,,1,,,9,791
166,166,Corriegill - N. and S.,,granite,,weight : 212 tons,,"N. - S.,",,1,,,1,792
167,167,Corriegill - N. and S.,height : 12 feet,granite - Conglomerate,,,,,,1,,,2,792
168,168,Corriegill - N. and S.,,Conglomerate - Sandstone,,,,,,1,,,3,792
169,169,Corriegill - N. and S.,,Conglomerate,,,height above sea level : 587 feet,,,1,,,5,792
170,170,Corriegill - N. and S.,long : 23 feet - wide : 9 feet - high : 12 feet,granite,,weight : 184 tons,height above sea level : 1270 feet,N. - S.,,1,,,6,792
171,171,Corriegill - Loch Ranza,,,,,height above sea level : 2000 feet,N.,,1,,,7,792
172,172,Corriegill - Brodick Bay - Goatfell,,,,,,N. - N.N.E.,,1,,"(Sixth Report, pa 22)",8,792
173,173,Corriegill - Edinburgh,,,,,,,,1,clay,"Watson, Watson, Messrs Bryce, Croskey, Jamzeson",1,793
174,174,Bute Island - Bute Island. - Rothesay - Old Red Sandstone,,Sandstone - slate - granite,,,,,,1,clay,"(Seventh Report, pa 14)",2,793
175,175,Bute Island - Ettrick Bay,,,,,,,,1,,"(Sewventh Report, pa 16)",3,793
176,176,of CAITHNESS. Dunnet - Barone Hill,,Conglomerate,,,,"N, - W, - N.",,1,,"(Seventh Report, pa 20)",6,793
177,177,Bute Thurso - Bute Island. - Rothesay - Old Red Sandstone,,Sandstone - slate - granite,,,,,,1,clay,"(Seventh Report, pa 14)",2,793
178,178,Bute Thurso - Golspie - N.W.,,Conglomerate - granite,,,,N.W.,,1,,Joass,1,794
179,179,Keiss Parish - *°Grey Stone.”,9 x 7 x 5,Conglomerate,,,,W. - N..,,1,,"(Zighth Report, pa 8)",2,794
180,180,Scrabster Harbour - Scrabster Harbour.,,,,,,,,1,clay,Jamieson,4,794
181,181,Wick Bay - Wick Bay.,length : 12 feet,sandstone - mica - slate - granite,,,,,,1,bed - clay,"(First Report, pa 80, and Proceedings of London Geological Society, Tth February 1866, pa 265)",7,794
182,182,DUMBARTONSHIRE. Luss - Loch Lomond - Fruin Water - K. and W. - Rocks - Old Red Sandstone,28 x 18 x 7,mica - schist - Sandstone,,weight : 246 tons,height above sea level : 150 feet - height above sea level : 2000 feet,"W., - N, - W.",,1,bank,"(Second Report, pa 153, Fourth Report, pa 20)",3,795
183,183,DUMBARTONSHIRE. Luss - Brora - Clyne - Milltown - N.N.W.,,turf - mica - schist,,,,N.N.W. - N.E.,,1,,Roderick Murchison,2,795
184,184,DUMBARTONSHIRE. Luss - N.W,,,,,,N.W.,,1,,"(Fourth Report, pa 21, Sixth Report, pa 6)",1,796
185,185,DUMBARTONSHIRE. Luss - Loch Lomond - Arden,5 x 4 x 4,granite - Sandstone - whinstone - Conglomerate,,,height above sea level : 337 feet,E. - W. - N.W.,,3,bank,"(Sixth Report, pa 7)",2,796
186,186,DUMBARTONSHIRE. Luss - Cameron House - S.E - Wamphray.,61 x 5 x 5,gneiss - whinstone,,,,"N.W, - S.E,",,1,,"(First Report, pa 36)",3,796
187,187,DUMFRIESSHIRE. Kirkeonnel - Kirkeonnel. - Spango Water,diameter : 7 feet,Granite - granite,,,height above sea level : 700 feet - height above sea level : 2331 feet,S.E.,,1,,"(First Report, pa 30)",7,796
188,188,On Tynron - Loch Lomond - Arden,5 x 4 x 4,granite - Sandstone - whinstone - Conglomerate,,,height above sea level : 337 feet,E. - W. - N.W.,,3,bank,"(Sixth Report, pa 7)",2,796
189,189,In Wamphray - Cameron House - S.E - Wamphray.,61 x 5 x 5,gneiss - whinstone,,,,"N.W, - S.E,",,1,,"(First Report, pa 36)",3,796
190,190,"About Moffat - ¢ Caer-man,”",,porphyry,,,height above sea level : 720 feet - height above sea level : 1900 feet,W.,,1,,"(Fourth Report, pa 21)",4,796
191,191,"About Moffat - ¢ Caer-man,”",,,,,,,,1,,,5,796
192,192,Langholm - Langholm. - Wauchope,16 x 11 x 61,granite - Sandstone,,,,,,1,bed,W. Strachan,6,796
193,193,Langholm - Kirkeonnel. - Spango Water,diameter : 7 feet,Granite - granite,,,height above sea level : 700 feet - height above sea level : 2331 feet,S.E.,,1,,"(First Report, pa 30)",7,796
194,194,Langholm - Edinburgh - Bothal - North Cumberland - Dumfriesshire - N.W,9 x 5,Silurian - Conglomerate - granite,,,height above sea level : 500 feet,"N, - N.W.",,1,,(Extract from the Fourth Report of the Boulder Commitiee of British Association),1,797
195,195,of (Extract ELcin. Dallas - Edinburgh - Bothal - North Cumberland - Dumfriesshire - N.W,9 x 5,Silurian - Conglomerate - granite,,,height above sea level : 500 feet,"N, - N.W.",,1,,(Extract from the Fourth Report of the Boulder Commitiee of British Association),1,797
196,196,Duffus - Roseisle,,Conglomerate,,,,"N.W.,",,1,,"(First Report, pa 31)",2,797
