,Numbers,Location,Size,Rocktype,Page_Number,Extra,BNum,Author,Verified
17,18,Ellon - Ythan - Ebrie,22 x 9 x 8 ,sienitic - greenstone,24,gneiss,1,Jamieson,CORRECT
18,20,Kemnay - Kemnay.,"38 x 30 x 10, 35 x 30 x 10, 25 x 23 x 8, 28 x 25 x 8, 30 x 28 x 10, 33 x 27 x 6, 21 x 20 x 3",blue gneiss,24,"Grey Granite, Legend Devil threw boulders",7,,CORRECT
19,25,Appin,20 x 18 x 11,Granite,26,,1,Reporters—James M¢Dougall and Sir James Alexander,CORRECT
20,26,Appin - Glen,,Granite,26,Line,Several,Reporters—James M¢Dougall and Sir James Alexander,CORRECT
21,27,Duncansburgh - Kilmalie,7 x 5 x 5,Granite,26,“ Trystiug Stone.”,1,"(Reporter—Patrick Gordon, mind Q)",CORRECT
22,29,Dunoon - Kirn,21 x 14 x 7,Trap,26,"clay, mica schist",1,"(Reporter—Rev. James Hay, minister of Kirn.)",CORRECT
23,30,Glencoe,90 Girth 10 High,Trap,26,,1,Captain White,CORRECT
24,31,lnishail - Taynuilt inn,,Granite,26,"""Rob Roy’s Putting Stone""",1,"Robert M McFarlane, Campbell",CORRECT
25,32,lnishail - Dalmaly - Tyndrum,,Granite,26,,Several,"Robert M McFarlane, Campbell",CORRECT
26,33,lnishail -  Corryghoil farm,,Granite,26,Fine,1,Campbell,CORRECT
27,34,Inverchaolain,10 x 7 x 5,Gneiss,27,"""Old Wife's Rock""",1,"(Reporter—John R. Thompson, schoolmaster Inellan.)",CORRECT
28,35,Inverchaolain,,,27,,Several,"(Reporter—John R. Thompson, schoolmaster Inellan.)",CORRECT
29,36,lona - Island,24 x 18 x 6,Granite,27,,1, Allan M Donald,CORRECT
30,39,lona - Island - NW Hill,24 x 18 x 6,Granite,27,,Several,Allan M Donald,CORRECT
31,40,Kilbrandon - Easdale - Lord Breadalbanc’s estate,21 - 28 Girth,grey granite,27,,Several,"(Reporter— Alexander M‘Millan, schoolmaster Kilbrandon.)",CORRECT
32,42,Kilmallie ,12 x 10 x 10,,27,,1,,INCORRECT
33,43,Kilmore - Kilbride,"12 Diameter, 5 Long",Granite,27,Conglomerate,1,"C. M*‘Dougall, Dunollie",INCORRECT
34,44,Suddell (Kintyre),,granite,28,Whinstone rocks,Several,"(Reporter—Rev. Jolin G. Levach, Manse of Saddell.)",INCORRECT
35,45,Campbelton - Macharioch,4 x 5 x 2,granite,28,,1,"(Reporter—Professor Nicol, Aberdeen.)",CORRECT
36,46, Campbellton - Southend,18 Circumference,granite,28,Broken up,1,D. Montgommerie,CORRECT
37,47, Campbellton - Southend,12 Circumference,granite,28,,1,D. Montgommerie,CORRECT
38,48,Coylton.,11 x 7 x 5 ,granite,28,Legend King Eat of boulder,1,"(Reporter— Rev, James Glasgow.)",INCORRECT
39,49,Coylton.,11 x 7,granite,28,,4,"(Reporter— Rev, James Glasgow.)",INCORRECT
40,51,Doone - Doone Loch.,25 x 20 x 12,granite,29,"""Kirk Stane""",2,Covener,CORRECT
41,52,Girvan - Turnberry Point,,"granite, whinstone",29,,Thousands,Superintendent of Turnberry Lighthouse works,INCORRECT
42,53,Girvan - Turnberry Point,17 x 13,Greywacke,29,,2,,INCORRECT
43,54,Maybole - Auchindrane,,Granite,29,"""Wallace's Stone""",1,Prof Geikle,INCORRECT
44,55,Banff - Peterhead,4 x 2 x 1,"Granite, Trap",29,clay,Several,Jamieson,INCORRECT
45,56,Boyndie - Shoreline,,Hypersthene,29,"""Boyndie Heathens""",Several,"(Reporter—James Iunter, Academy, Banft.)",INCORRECT
46,57,Fordyce - Ordiquihill parish,,blue whinstone,29,"""heathens""",Several,Parish Minister,INCORRECT
47,60,Dunnet ,,Conglomerate,29,,1,Robt. Campbell,INCORRECT
48,61,Thurso.—Castletown,,granite,30,,1,"John Cleghorn,  J. Anderson",INCORRECT
49,62,Thurso - Castletown,,Conglomerate,30,,Several,"John Cleghorn,  J. Anderson",INCORRECT
50,63,Wick,,conglomerate,30,,3,(Reporters —Joln Cleghorn and J. Anderson.),CORRECT
51,64,Wick,,Granite,30,,1,R. L. Jack,INCORRECT
52,66,Kirkconnell.,9 Diameter,granite,30,“Deil’s Stone.”,1,R. L. Jack,INCORRECT
53,67,T'ynron,,Whinstone,30,,3,"(Reporter—James Shaw, school master Tynron, Thornhill.) ",INCORRECT
54,68,Wamphray ,,Whinstone,30,,1,Parish Minister,CORRECT
55,69,Edinburgh - Arthur Seat,,Limestone ,30,,1,Roy. Soc.,INCORRECT
56,70,Pentland Hills,,Mica Slate,31,,1,Fleming,CORRECT
57,71,Pentland hills,,Greenstone,31,,1,Fleming,CORRECT
58,72,Pentland Hills,,Sandstone,31,,1,Maclaren,CORRECT
59,73,Pentland Hills - Dreghorn,,Greenstone,31,,1,Fleming,CORRECT
60,74,West Calder.,8 x 7 x 7,sandstone,31,Sandstone,1,S B Landells,CORRECT
61,75,Elgin - Dallas,,granite,31,,1,(Reporter—Jolin Martin.),INCORRECT
62,76,Duffus,21 x 14 x 4,Conglomerate,31,"""Hare or Witch's stone""",1,,CORRECT
63,77,Elgin - Bogton Farm,15 x 10 x 8,Conglomerate,31,"""Carlins stone"", ""Young Carlin""",2,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
64,78,Elgin - Pluscardie Chapel,13 x 8 x 6,Gniess,31,"""Chapel Stone""",1,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
65,79,Elgin,12 x 8 x 3,Sienite,31,,1,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
66,80,Elgin,8 x 6 x 2,Sienite,31,,1,"(Reporter—John Martin, South Guildry Strect, Elgin.)",INCORRECT
67,81,Forres,9 x 8 x 8,Conglomerate,31,""" Doupping Stone.""",1,(Reporter—Jolin Martin.),CORRECT
68,82,"Llanbryde, - St Andrews",15 x 9 x 7,Gneiss,31,"""Grey Stone"", spynie loch",1,(Reporter—John Martin.),CORRECT
69,83,Rothes,,hornblende,32,gniess,6,(Reporter—John Martin.),CORRECT
70,84,Balmerino,12 x 9 x 8,Mica Schist,32,Destroyed,1,"(Reporter—James Powrie, Esq., Reswallie, Forfar.) ",CORRECT
71,85,Crail - East Neuk,10 x 8 x 6,Granite,32,""" Blue Stone o Balcomie.”",1,"(Reporter—Captain White, R.E.)",CORRECT
72,86,Crail - East nuek,12 x 8 x 7,Trap,32,,1,"(Reporter—Captain White, R.E.)",CORRECT
73,87,Dunfermline.,17 x 15 x 6,granite,32,"""Witch's Stone"" Legend",1,(Reporter—Robert Bell. Pitconochie.),CORRECT
74,88,Newburgh - Flisk point,,sientic gneiss,32,Legend - Flung by giant,1,Dr Fleming,CORRECT
75,89,West Lomond Hill,,"red sandstone, porhyry",32,coboniferous limestone,1,John Sang,INCORRECT
76,90,Benholm,,granite,32,"""Stone of benholm"" - Destroyed, Trap knoll",1,Mr Smart Ayers,CORRECT
77,91,Benholm,"18 x 12 x 3, 6 x 4","granite, gniess",32,Conglomerate,1,(Reporter—Robert Bell. Pitconochie.),CORRECT
78,92,Carmyllie.,,"Granite, gneiss",33,"""The Cold Stone of the Crofts""",1,(Reporter—Rev. George Anderson.),CORRECT
79,93,Cortachy,13 x 10 x 8,trap,33,,1,(Reporter—Rev. Geo. Gordon Milne.),NOT VERIFIED
80,94, - Reswallie,,mica,33,,1,,NOT VERIFIED
81,95,Kirkden,,granite,33,gravel,2,(Reporter—Rev. Patrick Steven- SO1.),NOT VERIFIED
82,96,Kirriemuir - Carmyllie.,,gneiss,33,,1,(Reporter—Rev. George Anderson.),NOT VERIFIED
83,97,Liff,,Mica,34,,1,,NOT VERIFIED
84,98,Menmuir,,Granite,34,,1,"(Reporter—Itev, Mark Anderson, Mennmir, Drechin.)",NOT VERIFIED
85,99,Menmuir,,Granite,34,,1,"(Reporter—Itev, Mark Anderson, Mennmir, Drechin.)",NOT VERIFIED
86,100,Rescobie.~Mica,,slate,34,,1,"harles Lyell, Creigh Till",NOT VERIFIED
87,101,Rescobie.~Mica,,slate,34,,1,"harles Lyell, Creigh Till",NOT VERIFIED
88,102,Rescobie.~Mica,,slate,34,,1,"harles Lyell, Creigh Till",NOT VERIFIED
89,103,DBarvas - St Tigeans.,,Gneiss,35,,1,(Reporter— Rev. James Strachan.),NOT VERIFIED
90,104,DBarvas - St Tigeans.,,Gneiss,35,,1,(Reporter— Rev. James Strachan.),NOT VERIFIED
91,105,North - North Uist.,,gneiss,35,,2,,NOT VERIFIED
92,106,North - North Uist.,,gneiss,35,,2,,NOT VERIFIED
93,107,North - North Uist.,,gneiss,35,,2,,NOT VERIFIED
94,108,North - North Uist.,,gneiss,35,,2,,NOT VERIFIED
95,109,North - North Uist.,,gneiss,35,,2,,NOT VERIFIED
96,110,The - Stornoway,,gneiss,36,,1,"(Reporter—J>Mr Peter Liddell, Gregs, by Stornoway.)",NOT VERIFIED
97,111,The - Stornoway,,gneiss,36,,1,"(Reporter—J>Mr Peter Liddell, Gregs, by Stornoway.)",NOT VERIFIED
98,112,The - Stornoway,,gneiss,36,,1,"(Reporter—J>Mr Peter Liddell, Gregs, by Stornoway.)",NOT VERIFIED
99,113,The - Stornoway,,gneiss,36,,1,"(Reporter—J>Mr Peter Liddell, Gregs, by Stornoway.)",NOT VERIFIED
100,114,The - Stornoway,,gneiss,36,,1,"(Reporter—J>Mr Peter Liddell, Gregs, by Stornoway.)",NOT VERIFIED
101,115,Ndmallie - Ndmallie,,Quartz,42,,15,,NOT VERIFIED
102,116,Kltarlity - Lord Lovat,,whinstone,43,,2,,NOT VERIFIED
103,117,Lochaber - Lochaber.,14 x 8,granite,43,,1,ralg Dlin,NOT VERIFIED
104,118,Lochaber - Lochaber.,14 x 8,granite,43,,1,ralg Dlin,NOT VERIFIED
105,119,Lanchory.~On - Morvern,Length :17 Breadth : None Height : None,granite,44,,1,,NOT VERIFIED
106,120,Lanchory.~On - Morvern,Length :17 Breadth : None Height : None,granite,44,,1,,NOT VERIFIED
107,121,Lanchory.~On - Morvern,Length :17 Breadth : None Height : None,granite,44,,1,,NOT VERIFIED
108,122,Lanchory.~On - Morvern,Length :17 Breadth : None Height : None,granite,44,,1,,NOT VERIFIED
109,123,Fettercairn—XNo,,sand,44,gravel,1,,NOT VERIFIED
110,124,dloway - Boulder,53 x 6 x 6,granite,44,,1,(Reporter—David Durward.),NOT VERIFIED
111,125,Kclls - Craigenbay Farm,,whinstone,45,,1,"(Reporter—Robert Wallace, Auchenbrack, Tyunron.)",NOT VERIFIED
112,126,irkbean - Arbigland,16 x 9,Granite,45,,1,,NOT VERIFIED
113,127, - Criftel,,Granite,45,,1,"(Reporter—Rev, James Fraser, Colvend Manse, by Dalbeattie)",NOT VERIFIED
114,128, - Criftel,,Granite,45,,1,"(Reporter—Rev, James Fraser, Colvend Manse, by Dalbeattie)",NOT VERIFIED
115,129,Penningliome - Penningliome.,,Granite,45,,1,"(Reporters—Rev, William M-",NOT VERIFIED
116,130,Penningliome - Penningliome.,,Granite,45,,1,"(Reporters—Rev, William M-",NOT VERIFIED
117,131,Twynlolin - Twynlolin.,,Granite,45,,6,,NOT VERIFIED
118,132,Curne - Curne,,Whinstone,46,,3,(Reporter—Iev. Mr M- Lean.),NOT VERIFIED
119,133,Auldearn - Auldearn.,,Sandstone,46,pebbles,1,,NOT VERIFIED
120,134,Auldearn - Auldearn.,,Sandstone,46,pebbles,1,,NOT VERIFIED
121,135,Honsay - Piper’s Hill,,Sandstone,47,,1,,NOT VERIFIED
122,136, - Nairnshire,,conglomerate,47,,1,"(Reporters—W, Stables, Iisq., commissioner and his clerk Mr John Grant, (Cawdor Castle.)",NOT VERIFIED
123,137,(yoy—Conglomerate - Sketeh,,Conglomerate,47,,1,,NOT VERIFIED
124,138,Irith - Dressay,,conglomerate,47,,4,(Reporter—School- master Irith and Stennis (Orkney),NOT VERIFIED
125,139,Irith - Dressay,,conglomerate,47,,4,(Reporter—School- master Irith and Stennis (Orkney),NOT VERIFIED
126,140,Honsay - Piper’s Hill,,Sandstone,47,,1,,NOT VERIFIED
127,141,Aberfclily - Orkney,,Gneiss,48,,1,"Gr. Miller, Cross",NOT VERIFIED
128,142,"]'(‘ill‘i_"" - Shetland",,Conglomerate,48,,1,"(Reporter—Willian. Lawrcnce, teacher James Russcll] teachier.)",NOT VERIFIED
129,143,cent - North Unst.,,granite,48,,1,"(Reporter—James Palmey, schoolmaster Kivkurd, Dolphinton.)",NOT VERIFIED
130,144,cent - North Unst.,,granite,48,,1,"(Reporter—James Palmey, schoolmaster Kivkurd, Dolphinton.)",NOT VERIFIED
131,145,cent - North Unst.,,granite,48,,1,"(Reporter—James Palmey, schoolmaster Kivkurd, Dolphinton.)",NOT VERIFIED
132,146,"]'(‘ill‘i_"" - Shetland",,Conglomerate,48,,1,"(Reporter—Willian. Lawrcnce, teacher James Russcll] teachier.)",NOT VERIFIED
133,147, - Tullypowrie,,mica,49,,2,,NOT VERIFIED
134,148, - Tullypowrie,,mica,49,,2,,NOT VERIFIED
135,149, - Tullypowrie,,mica,49,,2,,NOT VERIFIED
136,150, - Tullypowrie,,mica,49,,2,,NOT VERIFIED
137,151, - Tullypowrie,,mica,49,,2,,NOT VERIFIED
138,152, - Pitnacree House,15 x 111,schist,49,,1,"(Reporter—DMr M¢Naughton, merchant Tullypowrie)",NOT VERIFIED
139,153,Aucltergaven,10 x 8,Granite,49,,1,,NOT VERIFIED
140,154,Cullendor - Cullendor,,conglomerate,50,,1,Stirhng,NOT VERIFIED
141,155,Comrie—1our - Comrie,135 x 9,whinstone,50,,1,Wm. F. Swan,NOT VERIFIED
142,156,Crieff,16 x 10 x 5,Conglomerate,50,,1,,NOT VERIFIED
143,157,Crieff,16 x 10 x 5,Conglomerate,50,,1,,NOT VERIFIED
144,158, - Abercairney,,granite,50,,1,,NOT VERIFIED
145,159,Doune - Doune,,Conglomerate,50,,1,Milue lHome,NOT VERIFIED
146,160,Fortingall - Black Wood,,Gneiss,50,,1,,NOT VERIFIED
147,161,Fowlis—Two - Fowlis,,granite,51,,2,(Reporter—Rev. Thomas Hardy.),NOT VERIFIED
148,162,Kilspindie - N.W.,,granite,51,,7,"(Reporter—James M‘Kerracher, schoolmaster by Errol.)",NOT VERIFIED
149,163,Logic - Logic Almond.,,Whinstone,51,,1,,NOT VERIFIED
150,164, - Loulder,,conglomerate,51,,1,"(Reporter—Rev. Patrick Macgregor, Logie Almond Manse.)",NOT VERIFIED
151,165, - Loulder,,conglomerate,51,,1,"(Reporter—Rev. Patrick Macgregor, Logie Almond Manse.)",NOT VERIFIED
152,166,Methven - Methven,,Whinstone,51,,1,(Reporter— William Duft),NOT VERIFIED
153,167,Pitlochrie—1.,,mica,51,clay,1,,NOT VERIFIED
154,168,Applecross - Straloch,,granite,52,clay,1,"(Reporter—Rev. Dr Robertson, Straloeh.)",NOT VERIFIED
155,169,Applecross - Straloch,,granite,52,clay,1,"(Reporter—Rev. Dr Robertson, Straloeh.)",NOT VERIFIED
156,170,Den - Glenballoeh Stone,6 x 6,Mica,52,,6,"(Reporter— Rev. Mr Herdman, Rattray.)",NOT VERIFIED
157,171,Den - Glenballoeh Stone,6 x 6,Mica,52,,6,"(Reporter— Rev. Mr Herdman, Rattray.)",NOT VERIFIED
158,172,Den - Glenballoeh Stone,6 x 6,Mica,52,,6,"(Reporter— Rev. Mr Herdman, Rattray.)",NOT VERIFIED
159,173,Applecross - Straloch,,granite,52,clay,1,"(Reporter—Rev. Dr Robertson, Straloeh.)",NOT VERIFIED
160,174,Den - Glenballoeh Stone,6 x 6,Mica,52,,6,"(Reporter— Rev. Mr Herdman, Rattray.)",NOT VERIFIED
161,175,Edderton - Edderton.,23 x 19 x 12,Granite,53,,1,"(Reporter—Rev. Ewen M:Ewen, parish mimster.)",NOT VERIFIED
162,176,Fannich,30 x 10 x 5,gneiss,53,,1,,NOT VERIFIED
163,177,Lochyair,"28 x 17 x 16, 23 x 101 x 7",granite,54,,2,,NOT VERIFIED
164,178,Lochyair,"28 x 17 x 16, 23 x 101 x 7",granite,54,,2,,NOT VERIFIED
165,179,Shieldag - Shieldag,,Granite,54,,1,"(Reporter —Rev. Alex. C. M¢Iutyre, Shieldag Manse, Dingwall.)",NOT VERIFIED
166,180,Lorn - OLd Red Sandstone,,Sandstone,54,,1,(Reporter—Robert Gordon.),NOT VERIFIED
167,181,Tarbat - Tarbat.,,granite,54,clay,7,"(Reporter—Rev. George Campbell, parish mimster.)",NOT VERIFIED
168,182,Alloa,13 x 11,Porphyry,54,,1,,NOT VERIFIED
169,183,Kilsyth,,Mica,55,,1,(Reporter—R. L. Jack (Geol. Survey),NOT VERIFIED
170,184,Strathblane,,Conglomerate,55,,1,,NOT VERIFIED
171,185,Golspie,,Sandstone,55,,1,"(Reporter—Rev. James Joass, minister of Golspie.)",NOT VERIFIED
172,186,Golspie,,Sandstone,55,,1,"(Reporter—Rev. James Joass, minister of Golspie.)",NOT VERIFIED
173,187,Glasserton - Applecross Hills,,Granite,56,pebbles,1,XNicol,NOT VERIFIED
174,188,Glasserton - Applecross Hills,,Granite,56,pebbles,1,XNicol,NOT VERIFIED
